Year,Month,CSIRO (mm),CSIRO uncertainty
1993,1,-28.77,
1993,2,-31.61,
1993,3,-24.28,
1993,4,-29.76,
1993,5,-24.20,
1993,6,-29.03,
1993,7,-25.61,
1993,8,-28.50,
1993,9,-25.97,
1993,10,-30.07,
1993,11,-28.63,
1993,12,-26.91,
1994,1,-24.47,
1994,2,-28.21,
1994,3,-20.48,
1994,4,-23.36,
1994,5,-26.80,
1994,6,-26.83,
1994,7,-28.01,
1994,8,-25.40,
1994,9,-29.17,
1994,10,-26.57,
1994,11,-32.63,
1994,12,-26.01,
1995,1,-24.97,
1995,2,-21.91,
1995,3,-22.88,
1995,4,-19.96,
1995,5,-27.10,
1995,6,-21.53,
1995,7,-28.91,
1995,8,-21.70,
1995,9,-24.07,
1995,10,-22.47,
1995,11,-26.03,
1995,12,-20.71,
1996,1,-27.27,
1996,2,-16.31,
1996,3,-22.18,
1996,4,-17.76,
1996,5,-18.40,
1996,6,-15.33,
1996,7,-16.11,
1996,8,-17.00,
1996,9,-18.27,
1996,10,-10.47,
1996,11,-13.53,
1996,12,-22.51,
1997,1,-16.57,
1997,2,-19.01,
1997,3,-14.68,
1997,4,-17.56,
1997,5,-12.00,
1997,6,-14.53,
1997,7,-8.01,
1997,8,-11.40,
1997,9,-4.87,
1997,10,-13.27,
1997,11,-8.83,
1997,12,-17.61,
1998,1,-6.37,
1998,2,-9.01,
1998,3,-3.78,
1998,4,-6.96,
1998,5,-4.50,
1998,6,-9.83,
1998,7,-5.01,
1998,8,-9.10,
1998,9,-7.57,
1998,10,-8.27,
1998,11,-8.63,
1998,12,-8.61,
1999,1,-4.77,
1999,2,-3.61,
1999,3,-9.18,
1999,4,-7.76,
1999,5,-10.80,
1999,6,-8.73,
1999,7,-9.81,
1999,8,-6.00,
1999,9,-11.17,
1999,10,-1.97,
1999,11,-11.23,
1999,12,-1.31,
2000,1,-4.87,
2000,2,0.29,
2000,3,-5.18,
2000,4,-2.86,
2000,5,-8.80,
2000,6,-2.53,
2000,7,-9.61,
2000,8,-2.60,
2000,9,-6.07,
2000,10,0.23,
2000,11,-5.03,
2000,12,-4.41,
2001,1,-0.47,
2001,2,-0.21,
2001,3,0.52,
2001,4,0.14,
2001,5,-0.50,
2001,6,-0.43,
2001,7,2.99,
2001,8,-1.20,
2001,9,5.73,
2001,10,-2.17,
2001,11,3.57,
2001,12,-3.51,
2002,1,5.03,
2002,2,3.99,
2002,3,2.42,
2002,4,2.04,
2002,5,4.30,
2002,6,1.77,
2002,7,5.79,
2002,8,7.80,
2002,9,3.73,
2002,10,6.03,
2002,11,3.17,
2002,12,3.09,
2003,1,7.23,
2003,2,8.69,
2003,3,6.82,
2003,4,5.94,
2003,5,6.90,
2003,6,3.97,
2003,7,4.59,
2003,8,4.60,
2003,9,8.63,
2003,10,5.53,
2003,11,5.37,
2003,12,5.09,
2004,1,11.83,
2004,2,8.59,
2004,3,9.52,
2004,4,8.84,
2004,5,7.60,
2004,6,7.37,
2004,7,8.89,
2004,8,7.30,
2004,9,9.93,
2004,10,5.23,
2004,11,6.17,
2004,12,9.19,
2005,1,10.83,
2005,2,12.59,
2005,3,12.82,
2005,4,10.54,
2005,5,11.90,
2005,6,12.57,
2005,7,11.39,
2005,8,11.50,
2005,9,11.53,
2005,10,11.03,
2005,11,14.47,
2005,12,14.59,
2006,1,12.83,
2006,2,15.09,
2006,3,13.02,
2006,4,13.44,
2006,5,13.60,
2006,6,14.77,
2006,7,14.49,
2006,8,14.30,
2006,9,14.23,
2006,10,14.23,
2006,11,11.17,
2006,12,13.59,
2007,1,13.23,
2007,2,14.49,
2007,3,13.62,
2007,4,18.04,
2007,5,14.40,
2007,6,14.17,
2007,7,11.89,
2007,8,13.40,
2007,9,12.33,
2007,10,12.63,
2007,11,16.87,
2007,12,12.79,
2008,1,18.83,
2008,2,15.39,
2008,3,18.72,
2008,4,17.04,
2008,5,23.40,
2008,6,20.57,
2008,7,19.89,
2008,8,18.60,
2008,9,20.03,
2008,10,18.43,
2008,11,21.27,
2008,12,19.49,
2009,1,26.73,
2009,2,24.69,
2009,3,20.12,
2009,4,24.44,
2009,5,23.50,
2009,6,25.27,
2009,7,22.49,
2009,8,21.00,
2009,9,19.33,
2009,10,22.63,
2009,11,26.87,
2009,12,28.69,
2010,1,32.03,
2010,2,26.09,
2010,3,25.12,
2010,4,25.54,
2010,5,27.50,
2010,6,28.37,
2010,7,28.69,
2010,8,24.40,
2010,9,21.73,
2010,10,19.23,
2010,11,25.67,
2010,12,25.09,
2011,1,29.23,
2011,2,25.59,
2011,3,23.82,
2011,4,20.64,
2011,5,24.50,
2011,6,23.37,
2011,7,25.69,
2011,8,21.00,
2011,9,24.03,
2011,10,21.83,
2011,11,29.77,
2011,12,28.49,
2012,1,35.63,
2012,2,37.49,
2012,3,33.42,
2012,4,33.14,
2012,5,33.40,
2012,6,34.87,
2012,7,35.29,
2012,8,36.00,
2012,9,32.13,
2012,10,33.63,
2012,11,38.17,
2012,12,40.89,
2013,1,45.43,
2013,2,43.89,
2013,3,38.62,
2013,4,41.74,
2013,5,39.40,
2013,6,40.27,
2013,7,36.09,
2013,8,36.40,
2013,9,31.13,
2013,10,33.63,
2013,11,37.17,
2013,12,41.69,
2014,1,43.23,
2014,2,42.69,
2014,3,41.02,
2014,4,42.34,
2014,5,40.80,
2014,6,40.77,
2014,7,40.19,
2014,8,39.90,
2014,9,39.73,
2014,10,38.03,
2014,11,44.07,
2014,12,42.59,
2015,1,52.43,
2015,2,48.19,
2015,3,50.52,
2015,4,48.24,
2015,5,51.80,
2015,6,49.07,
2015,7,51.59,
2015,8,48.70,
2015,9,50.33,
2015,10,50.73,
2015,11,57.67,
2015,12,56.99,
2016,1,61.13,
2016,2,58.59,
2016,3,56.82,
2016,4,56.44,
2016,5,55.50,
2016,6,57.67,
2016,7,56.69,
2016,8,52.90,
2016,9,53.23,
2016,10,51.63,
2016,11,57.77,
2016,12,55.39,
2017,1,56.93,
2017,2,53.49,
2017,3,55.72,
2017,4,57.54,
2017,5,56.80,
2017,6,57.17,
2017,7,58.19,
2017,8,59.00,
2017,9,58.33,
2017,10,56.03,
2017,11,61.47,
2017,12,59.89,
2018,1,61.63,
2018,2,59.69,
2018,3,60.32,
2018,4,56.64,
2018,5,62.10,
2018,6,60.67,
2018,7,62.69,
2018,8,60.40,
2018,9,63.33,
2018,10,62.33,
2018,11,63.77,
2018,12,61.79,
2019,1,67.43,
2019,2,66.49,
2019,3,67.82,
2019,4,66.04,
2019,5,69.60,
2019,6,69.37,
2019,7,69.39,
2019,8,70.80,
2019,9,69.23,
2019,10,67.63,
2019,11,69.27,
2019,12,69.59,
2020,1,68.83,
2020,2,71.89,
2020,3,68.12,
2020,4,70.44,
2020,5,71.20,
2020,6,72.77,
2020,7,72.19,
